artist,title,album,nof_tracks,key,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,nof notes,%C,%C#,%D,%D#,%E,%F,%F#,%G,%G#,%A,%A#,%B,genre
unknown,unknown,unknown,4,C/Am,128,16,146,3,504,82,41,60,1,706,4,37,1728,7.4074074074074066,0.9259259259259258,8.449074074074074,0.1736111111111111,29.166666666666668,4.74537037037037,2.372685185185185,3.4722222222222223,0.057870370370370364,40.85648148148148,0.23148148148148145,2.1412037037037037,metal
Iron Maiden,Judas be my guide,Fear of the dark,6,F/Dm,435,2,705,1,259,396,0,366,2,247,333,1,2747,15.835456862031307,0.0728066982162359,25.664361121223152,0.03640334910811795,9.428467419002548,14.415726246814705,0.0,13.323625773571168,0.0728066982162359,8.991627229705133,12.122315253003277,0.03640334910811795,metal
IRON MAIDEN,Deja Vu,Somewhere in time,7,G#/Fm,587,729,49,1409,66,1841,6,319,593,77,573,39,6288,9.335241730279899,11.59351145038168,0.779262086513995,22.407760814249365,1.049618320610687,29.27798982188295,0.09541984732824427,5.073155216284987,9.430661577608143,1.224554707379135,9.11259541984733,0.6202290076335878,metal
Megadeth,Liar,"So Far, So Good... So What!",8,C/Am,286,74,390,134,789,396,129,662,129,1334,585,246,5154,5.5490880869227786,1.4357780364765231,7.566938300349244,2.5999223903764066,15.30849825378347,7.683352735739232,2.5029103608847496,12.844392704695382,2.5029103608847496,25.88280946837408,11.350407450523866,4.772991850989523,metal
Iron Maiden,Only The Good Die Young,Seventh Son Of A Seventh Son,7,G/Em,603,201,396,63,1525,169,522,336,39,287,53,328,4522,13.334807607253426,4.444935869084476,8.75718708536046,1.393188854489164,33.72401592215834,3.737284387439186,11.543564794338788,7.430340557275541,0.8624502432551967,6.3467492260061915,1.172047766475011,7.253427686864219,metal
Iron Maiden,22 Acacia Avenue,The Number Of The Beast,7,G/Em,776,8,1581,32,4107,25,366,1072,0,770,21,797,9555,8.121402407116692,0.0837257980115123,16.546310832025117,0.3349031920460492,42.982731554160125,0.2616431187859759,3.8304552590266874,11.219256933542649,0.0,8.058608058608058,0.21978021978021978,8.341182626896911,metal
Iron Maiden,Dance Of Death,Dance Of Death,9,G/Em,769,134,1781,1,3094,1,1656,1702,16,1233,6,1798,12191,6.3079320810433925,1.0991715199737513,14.60913788860635,0.008202772537117545,25.379378229841688,0.008202772537117545,13.583791321466657,13.961118858174062,0.13124436059388073,10.114018538265935,0.049216635222705266,14.748585021737348,metal
Iron Maiden,Fear Of The Dark,Fear Of The Dark,7,F/Dm,1325,127,2316,6,284,855,207,1046,8,1263,1144,84,8665,15.29140219272937,1.465666474321985,26.72821696480092,0.06924408540103866,3.2775533756491635,9.867282169648009,2.388920946335834,12.071552221581074,0.09232544720138487,14.575879976918637,13.202538949798036,0.9694171956145412,metal
unknown,The Call Of Ktulu,unknown,7,D/Bm,544,234,1697,554,1244,348,529,633,68,1429,503,779,8562,6.353655687923382,2.7330063069376314,19.820135482363934,6.470450829245504,14.529315580471852,4.064470918009811,6.1784629759402,7.393132445690259,0.7942069609904228,16.69002569493109,5.874795608502686,9.098341508993226,metal
Megadeth,Symphony of Destruction,unknown,4,G/Em,303,8,266,60,1283,283,62,338,84,304,35,264,3290,9.209726443768997,0.24316109422492402,8.085106382978724,1.82370820668693,38.99696048632219,8.601823708206686,1.884498480243161,10.27355623100304,2.553191489361702,9.240121580547113,1.0638297872340425,8.024316109422493,metal
